MAE-1,R2-1,MAE-2,R2-2,MAE-3,R2-3,MAE-4,R2-4
0.212997102,0.859300606,0.243331386,0.782769478,0.274913825,0.66319358,0.297046045,0.643542575
0.239910006,0.831927385,0.22094842,0.836074276,0.30625401,0.606895235,0.382237604,0.377320498
0.217116259,0.879961654,0.249883815,0.850312559,0.254412445,0.834279968,0.319284612,0.703051361
0.210675611,0.901690508,0.202288387,0.880282872,0.229709006,0.80928655,0.228311427,0.822841086
0.253714579,0.86707721,0.220895681,0.91132377,0.282803811,0.803633535,0.270519617,0.831311511
0.241481901,0.842653838,0.287360727,0.615779303,0.389033976,0.297527786,0.389375068,0.395488213
0.210830871,0.85963912,0.139728219,0.908136235,0.160825999,0.854905893,0.20587889,0.73245821
0.194739099,0.898692441,0.299291816,0.850697942,0.409095545,0.646611608,0.339972445,0.776460992
0.186522224,0.880698257,0.236484464,0.889600336,0.279447098,0.841283779,0.270773734,0.843550663
0.220494491,0.837487704,0.204672843,0.860581792,0.231443218,0.775515678,0.291893014,0.70210906