EXP1,EXP2
0.2129971,0.489038971
0.23991001,0.265973978
0.21711626,0.811989164
0.21067561,0.61796464
0.25371458,0.617460732
0.2414819,0.604738314
0.21083087,0.495516695
0.1947391,0.324246131
0.18652222,0.661228267
0.22049449,2.813181186
,0.202217834
,0.33951402
,0.210713419
,1.091555789
,0.507639345
,0.741445312
,0.696850967
,0.305086785
,0.448035542
,0.351359761
,0.264478418
,0.173321946
,0.164661184
,0.152633941
,0.994943112
,0.241656713
,0.522789523
,0.547382872
,0.817953514
,0.380182803
,0.357497152
,0.519433456
,0.055591702
,0.588554306
,0.181617305
,0.290762057
,0.174330401
,0.164034202
,0.418625159
,0.354936125
,0.24084051
,0.802410147
,0.308041136
,0.319543284
,0.100205401
,0.110931732
,1.45350262
,0.671203838
,0.050127705
,0.878433745
,0.673041369
,0.176772836
,0.998763364
,0.199904204
,0.247173975
,0.626985499
,0.187357516
,0.169883448
,0.552314452
,0.749734045
,0.447883045
,0.063294383
,0.340532012
,0.915181509
,0.513598926